squander,浪费，挥霍
alienate,使疏远，使不友好，转让，让渡
grudge,怨恨，积怨；勉强做
frivolity,轻浮，愚蠢的行为
ferment,发酵，骚动
slough,泥坑，沼泽，绝境；使脱落
indignant,愤慨的，恼怒的
counteract,消除，抵消
acoustic,原声的，非电声乐器的，听觉的，声音的
aloof,远离的，冷淡的，冷漠的
chafe,擦破，擦痛，恼怒，焦躁
panorama,全景，全貌，概观，综述
allegiance,忠诚，效忠，拥戴
ornate,华丽的，奢华的
quiver,颤动，抖动；颤抖，箭筒
vigor,活力，精力
whim,一时的兴致，冲动，怪念头，奇想
apparatus,器械，器具，设备，装置
vogue,时尚，风气，流行；流行的，时髦的
adroit,精明的，干练的，熟练的，灵巧的
perch,栖息处，高处，鲈鱼
nocturnal,夜行性的，夜间发生的
soothe,缓和，减轻，抚慰，安慰
venomous,有毒的，分泌毒液的，恶意的，狠毒的
sleek,时髦的，线条流畅的，头发平滑有光泽的
tactile,触觉的，有触觉的，可感触的
choppy,波浪起伏的，不平静的，不连贯的，支离破碎的
viscous,粘滞的，粘性的
crescent,新月；新月形的，逐渐增强的
shroud,隐藏，遮蔽；裹尸布，寿衣，遮蔽物
eccentric,古怪的，反常的；古怪的人
citadel,堡垒，要塞
methanol,甲醇
thwart,阻碍，使…受挫
boulder,巨石
voracious,狼吞虎咽的，贪婪的
boon,恩赐，恩惠，益处
swampy,沼泽多的，湿地的，松软的
appraise,估价，估量，评价，评定
quilt,被褥；缝被，缝制
alienable,可转让的
apprise,通知，告诉
intact,无损伤的，完整的
cuisine,烹饪，烹调法，烹调风格
surrender,投降，屈从，放弃，交出
stark,严峻的，明显的，十足的；十足
grump,发脾气，发牢骚；脾气不好的人
indigent,贫困的，贫穷的
flux,变迁，不断的变动
ration,配给，定量供应
attire,穿着，服饰；给…穿衣，打扮
manifest,货物清单；表明，显示；明显的
forage,觅食，搜寻；草料，饲料
pragmatic,务实的，注重实效的，实用的
knack,诀窍，技能，本领，习惯，癖好
stash,隐藏，藏匿；贮藏物
